path,bytes_uncompressed,over_2mb,crawl_window_bytes,body_start_byte,h1_pos_byte,h1_in_first_2mb,top20_byte_cutoff,h1_in_top20_html,top20_body_byte_cutoff,h1_in_top20_body,uniqueness_marker,uniqueness_pos_byte,uniqueness_in_first_2mb,uniqueness_in_top20_html,uniqueness_in_top20_body
assisted-living/arizona/cities/litchfield-park/index.html,17028,false,17028,2392,2983,true,3405,true,5319,true,Local Data Signals,3156,true,true,true
assisted-living/arizona/cities/mesa/index.html,28757,false,28757,2216,2807,true,5751,true,7524,true,Local Data Signals,2969,true,true,true
assisted-living/arizona/cities/oro-valley/index.html,16778,false,16778,2312,2903,true,3355,true,5205,true,Local Data Signals,3071,true,true,true
assisted-living/arizona/cities/payson/index.html,17612,false,17612,2248,2839,true,3522,true,5320,true,Local Data Signals,3003,true,true,true
assisted-living/arizona/cities/peoria/index.html,21684,false,21684,2248,2839,true,4336,true,6135,true,Local Data Signals,3003,true,true,true
assisted-living/arizona/cities/phoenix/index.html,30707,false,30707,2264,2855,true,6141,true,7952,true,Local Data Signals,3020,true,true,true
assisted-living/arizona/cities/prescott/index.html,20372,false,20372,2280,2871,true,4074,true,5898,true,Local Data Signals,3037,true,true,true
assisted-living/arizona/cities/prescott-valley/index.html,17157,false,17157,2392,2983,true,3431,true,5345,true,Local Data Signals,3156,true,true,true
assisted-living/arizona/cities/sacaton/index.html,16284,false,16284,2264,2855,true,3256,true,5068,true,Local Data Signals,3020,true,true,true
assisted-living/arizona/cities/safford/index.html,16336,false,16336,2264,2855,true,3267,true,5078,true,Local Data Signals,3020,true,true,true
assisted-living/arizona/cities/scottsdale/index.html,30159,false,30159,2312,2903,true,6031,true,7881,true,Local Data Signals,3071,true,true,true
assisted-living/arizona/cities/sedona/index.html,16255,false,16255,2248,2839,true,3251,true,5049,true,Local Data Signals,3003,true,true,true
assisted-living/arizona/cities/sells/index.html,16372,false,16372,2232,2823,true,3274,true,5060,true,Local Data Signals,2986,true,true,true
assisted-living/arizona/cities/show-low/index.html,16512,false,16512,2280,2871,true,3302,true,5126,true,Local Data Signals,3037,true,true,true
assisted-living/arizona/cities/sierra-vista/index.html,18105,false,18105,2344,2935,true,3621,true,5496,true,Local Data Signals,3105,true,true,true
assisted-living/arizona/cities/sun-city/index.html,17756,false,17756,2280,2871,true,3551,true,5375,true,Local Data Signals,3037,true,true,true
assisted-living/arizona/cities/sun-city-west/index.html,18255,false,18255,2360,2951,true,3651,true,5539,true,Local Data Signals,3122,true,true,true
assisted-living/arizona/cities/surprise/index.html,17783,false,17783,2280,2871,true,3556,true,5380,true,Local Data Signals,3037,true,true,true
assisted-living/arizona/cities/tempe/index.html,18674,false,18674,2232,2823,true,3734,true,5520,true,Local Data Signals,2986,true,true,true
